model_type,method,init,lr,momentum,test_mse,test_r2
normal,mini,xavier,0.01,0.9,1.631957845645978,-1.9251939764119173
normal,mini,xavier,0.001,0.9,2.968750564701689,-4.32132082486322
normal,mini,xavier,0.0001,0.9,20.34008525051916,-35.458475329656665
normal,sto,zeros,0.01,0.9,0.07656815939747078,0.8627558185697055
normal,sto,zeros,0.001,0.9,0.7553170242526195,-0.35386389759998393
normal,sto,zeros,0.0001,0.9,2.04174506478437,-2.6597148515879123
normal,sto,xavier,0.01,0.9,0.07200627265851224,0.87093274767696
normal,sto,xavier,0.001,0.9,0.7586572125198555,-0.3598509999172823
normal,sto,xavier,0.0001,0.9,2.020616982407654,-2.6218439350894283
lasso,batch,zeros,0.01,0.0,2.8535169527930875,-4.114770963091635
lasso,batch,zeros,0.001,0.0,8.312910547908826,-13.90043135983616
lasso,batch,zeros,0.0001,0.0,117.84316208130758,-210.22733580482037
lasso,batch,xavier,0.01,0.0,2.6605776003985597,-3.7689378688465514
lasso,batch,xavier,0.001,0.0,7.799874540770167,-12.980842755407231
lasso,batch,xavier,0.0001,0.0,106.63084479615493,-190.12987858700527
lasso,mini,zeros,0.01,0.0,1.4372482188968807,-1.576187763515271
lasso,mini,zeros,0.001,0.0,2.088946694339356,-2.7443211561070204
lasso,mini,zeros,0.0001,0.0,3.110981634632977,-4.5762621336302605
lasso,mini,xavier,0.01,0.0,1.4303906878831276,-1.5638960192965055
lasso,mini,xavier,0.001,0.0,2.0922885544877223,-2.7503112551785707
lasso,mini,xavier,0.0001,0.0,3.0557768694238305,-4.477310652077066
lasso,sto,zeros,0.01,0.0,0.46860613674053553,0.160049475444334
lasso,sto,zeros,0.001,0.0,0.5842263799722228,-0.04719340154231877
lasso,sto,zeros,0.0001,0.0,1.6735821538706475,-1.9998032416058478
lasso,sto,xavier,0.01,0.0,0.5813074229859923,-0.04196133294673121
lasso,sto,xavier,0.001,0.0,0.5782057961382173,-0.03640183874999381
lasso,sto,xavier,0.0001,0.0,1.6710638733451881,-1.9952893633560862
lasso,batch,zeros,0.01,0.9,9.972269549682883,-16.874740389719847
lasso,batch,zeros,0.001,0.9,112.0278024181064,-199.8036259627739
